Sentence,correct_answer,false_answer,animacy_state,
The chef that the worker distrusted called for help after the restaurant closed.,chef,worker,both_animate,
The chef that you distrusted called for help after the restaurant closed.,chef,you,both_animate,
The chef that Joe distrusted called for help after the restaurant closed.,chef,Joe,both_animate,
The chef that distrusted the worker called for help after the restaurant closed.,chef,worker,both_animate,
The chef that distrusted you called for help after the restaurant closed.,chef,you,both_animate,
The chef that distrusted Joe called for help after the restaurant closed.,chef,Joe,both_animate,
The aunt that the child amused made paper dolls out of the newspaper.,aunt,child,both_animate,
The aunt that you amused made paper dolls out of the newspaper.,aunt,you,both_animate,
The aunt that Kim amused made paper dolls out of the newspaper.,aunt,Kim,both_animate,
The aunt that amused the child made paper dolls out of the newspaper.,aunt,child,both_animate,
The aunt that amused you made paper dolls out of the newspaper.,aunt,you,both_animate,
The aunt that amused Kim made paper dolls out of the newspaper.,aunt,Kim,both_animate,
The violinist that the conductor complimented performed at Carnegie Hall for two weeks.,violinist,conductor,both_animate,
The violinist that you complimented performed at Carnegie Hall for two weeks.,violinist,you,both_animate,
The violinist that Nick complimented performed at Carnegie Hall for two weeks.,violinist,Nick,both_animate,
The violinist that complimented the conductor performed at Carnegie Hall for two weeks.,violinist,conductor,both_animate,
The violinist that complimented you performed at Carnegie Hall for two weeks.,violinist,you,both_animate,
The violinist that complimented Nick performed at Carnegie Hall for two weeks.,violinist,Nick,both_animate,
The teacher that the student questioned wrote a long science fiction novel during the summer vacation.,teacher,student,both_animate,
The teacher that you questioned wrote a long science fiction novel during the summer vacation.,teacher,you,both_animate,
The teacher that Bob questioned wrote a long science fiction novel during the summer vacation.,teacher,Bob,both_animate,
The teacher that questioned the student wrote a long science fiction novel during the summer vacation.,teacher,student,both_animate,
The teacher that questioned you wrote a long science fiction novel during the summer vacation.,teacher,you,both_animate,
The teacher that questioned Bob wrote a long science fiction novel during the summer vacation.,teacher,Bob,both_animate,
The editor that the author recommended changed jobs after a new merger was announced.,editor,author,both_animate,
The editor that you recommended changed jobs after a new merger was announced.,editor,you,both_animate,
The editor that Jen recommended changed jobs after a new merger was announced.,editor,Jen,both_animate,
The editor that recommended the author changed jobs after a new merger was announced.,editor,author,both_animate,
The editor that recommended you changed jobs after a new merger was announced.,editor,you,both_animate,
The editor that recommended Jen changed jobs after a new merger was announced.,editor,Jen,both_animate,
The tailor that the customer described worked in a small building near the bus station.,tailor,customer,both_animate,
The tailor that you described worked in a small building near the bus station.,tailor,you,both_animate,
The tailor that Pam described worked in a small building near the bus station.,tailor,Pam,both_animate,
The tailor that described the customer worked in a small building near the bus station.,tailor,customer,both_animate,
The tailor that described you worked in a small building near the bus station.,tailor,you,both_animate,
The tailor that described Pam worked in a small building near the bus station.,tailor,Pam,both_animate,
The admiral that the general advised reminisced nostalgically before the trip got underway.,admiral,general,both_animate,
The admiral that you advised reminisced nostalgically before the trip got underway.,admiral,you,both_animate,
The admiral that Jim advised reminisced nostalgically before the trip got underway.,admiral,Jim,both_animate,
The admiral that advised the general reminisced nostalgically before the trip got underway.,admiral,general,both_animate,
The admiral that advised you reminisced nostalgically before the trip got underway.,admiral,you,both_animate,
The admiral that advised Jim reminisced nostalgically before the trip got underway.,admiral,Jim,both_animate,
The coach that the referee criticized talked publicly about the incident after the game.,coach,referee,both_animate,
The coach that you criticized talked publicly about the incident after the game.,coach,you,both_animate,
The coach that Kate criticized talked publicly about the incident after the game.,coach,Kate,both_animate,
The coach that criticized the referee talked publicly about the incident after the game.,coach,referee,both_animate,
The coach that criticized you talked publicly about the incident after the game.,coach,you,both_animate,
The coach that criticized Kate talked publicly about the incident after the game.,coach,Kate,both_animate,
The lawyer that the client interviewed had a very small office.,lawyer,client,both_animate,
The lawyer that you interviewed had a very small office.,lawyer,you,both_animate,
The lawyer that Ken interviewed had a very small office.,lawyer,Ken,both_animate,
The lawyer that interviewed the client had a very small office.,lawyer,client,both_animate,
The lawyer that interviewed you had a very small office.,lawyer,you,both_animate,
The lawyer that interviewed Ken had a very small office.,lawyer,Ken,both_animate,
The worker that the technician called drove a grey truck.,worker,technician,both_animate,
The worker that you called drove a grey truck.,worker,you,both_animate,
The worker that John called drove a grey truck.,worker,John,both_animate,
The worker that called the technician drove a grey truck.,worker,technician,both_animate,
The worker that called you drove a grey truck.,worker,you,both_animate,
The worker that called John drove a grey truck.,worker,John,both_animate,
The salesman that the accountant contacted spoke very quickly.,salesman,accountant,both_animate,
The salesman that you contacted spoke very quickly.,salesman,you,both_animate,
The salesman that Ross contacted spoke very quickly.,salesman,Ross,both_animate,
The salesman that contacted the accountant spoke very quickly.,salesman,accountant,both_animate,
The salesman that contacted you spoke very quickly.,salesman,you,both_animate,
The salesman that contacted Ross spoke very quickly.,salesman,Ross,both_animate,
The clown that the magician entertained was a star.,clown,magician,both_animate,
The clown that you entertained was a star.,clown,you,both_animate,
The clown that Carly entertained was a star.,clown,Carly,both_animate,
The clown that entertained the magician was a star.,clown,magician,both_animate,
The clown that entertained you was a star.,clown,you,both_animate,
The clown that entertained Carly was a star.,clown,Carly,both_animate,
The clerk that the traveler helped worked in a large foreign bank.,clerk,traveler,both_animate,
The clerk that you helped worked in a large foreign bank.,clerk,you,both_animate,
The clerk that Ethan helped worked in a large foreign bank.,clerk,Ethan,both_animate,
The clerk that helped the traveler worked in a large foreign bank.,clerk,traveler,both_animate,
The clerk that helped you worked in a large foreign bank.,clerk,you,both_animate,
The clerk that helped Ethan worked in a large foreign bank.,clerk,Ethan,both_animate,
The gardener that the landlord envied was very friendly.,gardener,landlord,both_animate,
The gardener that you envied was very friendly.,gardener,you,both_animate,
The gardener that Liz envied was very friendly.,gardener,Liz,both_animate,
The gardener that envied the landlord was very friendly.,gardener,landlord,both_animate,
The gardener that envied you was very friendly.,gardener,you,both_animate,
The gardener that envied Liz was very friendly.,gardener,Liz,both_animate,
The actress who was in the French director's studio this week hit the expensive vase at the entrance.,actress,director,both_animate,
The camera that was in the French director's studio this week hit the expensive vase at the entrance.,camera,director,false_animate,
This is the actress who this week in the French director's studio hit the expensive vase at the entrance.,actress,director,both_animate,
This is the camera that this week in the French director's studio hit the expensive vase at the entrance.,camera,director,false_animate,
The student who was yesterday in the class of the lazy practitioner bored the members of the course.,student,practitioner,both_animate,
The assignment that was yesterday in the class of the lazy practitioner bored the members of the course.,assignment,practitioner,false_animate,
This is the student who yesterday in the class of the lazy practitioner bored the members of the course.,student,practitioner,both_animate,
This is the assignment that yesterday in the class of the lazy practitioner bored the members of the course.,assignment,practitioner,false_animate,
The baby who was in the young teenager's daycare today rolled around on the lawn.,baby,teenager,both_animate,
The cart that was in the young teenager's daycare today rolled over on the lawn.,cart,teenager,false_animate,
This is the baby who today in the young teenager's daycare rolled on the lawn.,baby,teenager,both_animate,
This is the cart that today in the young teenager's daycare rolled on the lawn.,cart,teenager,false_animate,
The salesman who was in the talented goldsmith's shop today excited the spendthrift customer.,salesman,goldsmith,both_animate,
The chain that was in the talented goldsmith's shop today excited the spendthrift customer.,chain,goldsmith,false_animate,
This is the salesman who today in the talented goldsmith's shop excited the spendthrift customer.,salesman,goldsmith,both_animate,
This is the chain that today in the talented goldsmith's shop excited the spendthrift customer.,chain,goldsmith,false_animate,
The girl who was at the red-haired comedian's wedding this week amazed all the guests.,girl,comedian,both_animate,
The cake that was at the red-haired comedian's wedding this week amazed all the guests.,cake,comedian,false_animate,
This is the girl who this week at the red-haired comedian's wedding amazed all the guests.,girl,comedian,both_animate,
This is the cake that this week at the red-haired comedian's wedding amazed all the guests.,cake,comedian,false_animate,
The nanny who was at the elderly grandmother's house this morning made her curly granddaughter sad.,nanny,grandmother,both_animate,
The gift that was in the elderly grandmother's house this morning made the curly granddaughter sad.,gift,grandmother,false_animate,
This is the nanny who this morning at the elderly grandmother's house saddened her curly granddaughter.,nanny,grandmother,both_animate,
This is the gift who this morning at the elderly grandmother's house saddened her curly granddaughter.,gift,grandmother,false_animate,
The fan who was in the English singer's room this morning made the band members happy.,fan,singer,both_animate,correct can be also inanimate
The picture that was in the English singer's room this morning made the members of the band happy.,picture,singer,false_animate,
This is the fan who this morning in the room of the English singer made the members of the band happy.,fan,singer,both_animate,correct can be also inanimate
This is the picture that this morning in the room of the English singer made the members of the band happy.,picture,singer,false_animate,
The nurse who was at the examination of the successful surgeon today reassured the worried patient.,nurse,surgeon,both_animate,
The result of today's examination by the successful surgeon reassured the worried patient.,result,surgeon,false_animate,
This is the nurse who today during the examination of the successful surgeon calmed down the worried patient.,nurse,surgeon,both_animate,
This is the result that today during the examination of the successful surgeon calmed down the worried patient.,result,surgeon,false_animate,
The usher who was at the young playwright's performance this evening confused the spectators who entered.,usher,playwright,both_animate,
The sign that was in the play of the young playwright this evening confused the spectators who entered.,sign,playwright,false_animate,
This is the usher who tonight at the play by the young playwright confused the spectators who came in.,usher,playwright,both_animate,
This is the sign that tonight at the play by the young playwright confused the spectators who came in.,sign,playwright,false_animate,
The apprentice who was in the office of the chatty minister at noon angered the veteran supervisor.,apprentice,minister,both_animate,
The report that was in the office of the chatty minister at noon angered the veteran inspector.,report,minister,false_animate,
This is the apprentice who in the office of the chatty minister at noon angered the old inspector.,apprentice,minister,both_animate,
This is the report that at noon in the office of the chatty minister angered the veteran inspector.,report,minister,false_animate,
The employee who was in the talented programmer's interview this morning annoyed the team leader.,employee,programmer,both_animate,
The test that was in the talented programmer's interview this morning annoyed the head of the team.,test,programmer,false_animate,
This is the employee who this morning in the interview of the talented programmer annoyed the head of the team.,employee,programmer,both_animate,
This is the test that this morning in the interview of the talented programmer annoyed the head of the team.,test,programmer,false_animate,
The dog that was in the care of the devoted boy this year has grown quite impressively.,dog,boy,both_animate,
The pot that was in the care of the devoted boy this year grew quite impressively.,pot,boy,false_animate,
This is the dog that this year under the care of the devoted boy has grown quite impressively.,dog,boy,both_animate,
This is the pot that this year under the care of the devoted boy has grown quite impressively.,pot,boy,false_animate,
The guitarist who was at the Italian composer's celebration tonight played the favorite song.,guitarist,composer,both_animate,
The speaker that was at the Italian composer's celebration tonight played the favorite song.,speaker,composer,false_animate,correct can be also animate
This is the guitarist who tonight at the celebration of the Italian composer played the favorite song.,guitarist,composer,both_animate,
This is the speaker that tonight at the celebration of the Italian composer played the favorite song.,speaker,composer,false_animate,correct can be also animate
The girl who was in the kind teacher's class yesterday fell off the high round table.,girl,teacher,both_animate,
The magazine that was in the kind teacher's class yesterday fell off the high round table.,magazine,teacher,false_animate,
This is the girl who yesterday in the kind teacher's class fell off the high round table.,girl,teacher,both_animate,
This is the magazine that yesterday in the kind teacher's class fell off the high round table.,magazine,teacher,false_animate,
The dancer who was last night at the performance of the choreographer from Toronto embarrassed the director of the hall.,dancer,choreographer,both_animate,
The setting that was at last night's performance by the choreographer from Toronto embarrassed the director of the hall.,setting,choreographer,false_animate,
This is the dancer who last night at the performance of the choreographer from Toronto embarrassed the manager of the hall.,dancer,choreographer,both_animate,
This is the setting that last night at the performance of the choreographer from Toronto embarrassed the manager of the hall.,setting,choreographer,false_animate,
The model who was tonight at the designer's event from Paris impressed the enthusiastic crowd.,model,designer,both_animate,
The dress that was tonight at the designer's event from Paris impressed the enthusiastic crowd.,dress,designer,false_animate,
This is the model who tonight at the Paris-based designer's event impressed the enthusiastic crowd.,model,designer,both_animate,
This is the dress that tonight at the Paris-based designer's event impressed the enthusiastic crowd.,dress,designer,false_animate,
The pianist who was tonight at the impressive musician's competition moved the tough judges.,pianist,musician,both_animate,
The composition that was tonight at the impressive musician's competition moved the tough judges.,composition,musician,false_animate,
This is the pianist who tonight in the competition of the impressive musician moved the tough judges.,pianist,musician,both_animate,
This is the piece that tonight in the competition of the impressive musician moved the tough judges.,composition,musician,false_animate,
The journalist who was this evening at the leading candidate's conference convinced the undecided voters.,journalist,candidate,both_animate,
The presentation that was this evening at the leading candidate's conference convinced the undecided voters.,presentation,candidate,false_animate,
This is the journalist who tonight at the conference of the leading candidate convinced the undecided voters.,journalist,candidate,both_animate,
This is the presentation that tonight at the conference of the leading candidate convinced the undecided voters.,presentation,candidate,false_animate,
The commanding officer who was early in the morning in the senior officer's headquarters woke up the combat soldiers.,commanding,senior,both_animate,
The alarm that was early in the morning in the senior officer's headquarters woke up the combat soldiers.,alarm,officer,false_animate,
This is the commanding officer who in the morning in the senior officer's headquarters woke up the combat soldiers.,commanding,senior,both_animate,
This is the alarm that in the morning in the senior officer's headquarters woke up the combat soldiers.,alarm,officer,false_animate,
The witness who was this week in the hardened criminal's apartment incriminated the accomplice.,witness,criminal,both_animate,
The evidence that was this week in the hardened criminal's apartment incriminated the accomplice.,evidence,criminal,false_animate,
This is the witness who this week in the hardened criminal's apartment incriminated the accomplice.,witness,criminal,both_animate,
This is the evidence that this week in the hardened criminal's apartment incriminated the accomplice.,evidence,criminal,false_animate,
The tourist hired the guides that the locals angered due to a misunderstanding.,guides,tourists,both_animate,
The tourists hired the guides that the locals angered due to a misunderstanding.,guides,tourists,both_animate,
The tourist hired the guides that two days ago the locals from the nearby village angered due to a misunderstanding.,guides,tourists,both_animate,
The tourists hired the guides who two days ago the locals from the nearby village angered due to a misunderstanding.,guides,tourists,both_animate,
The coach removed the athletes that the fans disrespected because of the recent losses.,athletes,coach,both_animate,
The coaches removed the athletes that the fans disrespected because of the recent losses.,athletes,coaches,both_animate,
The coach removed the athletes that last week the loud and disappointed fans disrespected because of the recent losses.,athletes,coach,both_animate,
The coaches removed the athletes that last week the loud and disappointed fans disrespected because of the recent losses.,athletes,coaches,both_animate,
The agent discovered the producers that the musicians excited following the success of the album,agent,producers,both_animate,
The agents discovered the producers that the musicians excited following the success of the album,agents,producers,both_animate,
The agent discovered the producers that a month ago the talented and friendly musicians excited following the success of the album,agent,producers,both_animate,
The agents discovered the producers that a month ago the talented and friendly musicians excited following the success of the album,agents,producers,both_animate,
The policeman hid the suspects that the criminals threatened after the publicized arrest,suspects,policeman,both_animate,
The policemen hid the suspects that the criminals threatened after the publicized arrest,suspects,policemen,both_animate,
The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest,suspects,policeman,both_animate,
The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest,suspects,policemen,both_animate,
The policeman hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest,suspects,policeman,both_animate,
The policemen hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest,suspects,policemen,both_animate,
The inspector will interrogate the keepers that the prisoners abused at the beginning of the official position,keepers,inspector,both_animate,
The inspectors will interrogate the keepers that the prisoners abused at the beginning of the official position,keepers,inspectors,both_animate,
The inspector will investigate the keepers that last year the most violent prisoners abused at the beginning of the official position,keepers,inspector,both_animate,
The inspectors will investigate the keepers that last year the most violent prisoners abused at the beginning of the official position,keepers,inspectors,both_animate,
The singer met the stars that the fans cared for during the long absence,stars,singer,both_animate,
The singers met the stars that the fans cared for during the long absence,stars,singers,both_animate,
The singer met the stars that loyal and devoted fans cared for in recent months during the long absence,stars,singer,both_animate,
The singers met the stars that loyal and devoted fans cared for in recent months during the long absence,stars,singers,both_animate,
The nurse interrogated the doctors that the injured people needed following the car accident,doctors,nurse,both_animate,
The nurses interrogated the doctors that the injured people needed following the car accident,doctors,nurses,both_animate,
The nurse interrogated the doctors that the injured people needed following yesterday evening car accident,doctors,nurse,both_animate,
The nurses interrogated the doctors that the injured people needed following yesterday evening car accident,doctors,nurses,both_animate,
The teacher failed the girls that the students ignored since the annual trip,girls,teacher,both_animate,
The teachers failed the girls that the students ignored since the annual trip,girls,teachers,both_animate,
The teacher failed the girls that the popular and arrogant students ignored for the past month since the annual trip,girls,teacher,both_animate,
The teachers failed the girls that the popular and arrogant students ignored for the past month since the annual trip,girls,teachers,both_animate,
The president summoned the consultants that the lobbyists paid to promote the law,consultants,president,both_animate,
The presidents summoned the consultants that the lobbyists paid to promote the law,consultants,presidents,both_animate,
The president summoned the consultants that last year the organization's lobbyists paid to promote the law,consultants,president,both_animate,
The presidents summoned the consultants that last year the organization's lobbyists paid to promote the law,consultants,presidents,both_animate,
The director sketched the actresses that the extras watched during the extended scene,actresses,director,both_animate,
The directors sketched the actresses that the extras watched during the extended scene,actresses,directors,both_animate,
The director sketched the actresses that two days ago the young and excited extras watched during the extended scene,actresses,director,both_animate,
The directors sketched the actresses that two days ago the young and excited extras watched during the extended scene,actresses,directors,both_animate,
The detective located the thieves that the assistants helped for a high fee,thieves,detective,both_animate,
The detectives located the thieves that the assistants helped for a high fee,thieves,detectives,both_animate,
The detective located the thieves that two weeks ago the smart and agile assistants helped for a high fee,thieves,detective,both_animate,
The detectives located the thieves that two weeks ago the smart and agile assistants helped for a high fee,thieves,detectives,both_animate,
The manager knew the workers that the customers heard during the busy shift,workers,manager,both_animate,
The managers knew the workers that the customers heard during the busy shift,workers,managers,both_animate,
The manager knew the workers that yesterday morning the demanding and opinionated customers heard during the busy shift,workers,manager,both_animate,
The managers knew the workers that yesterday morning the demanding and opinionated customers heard  during the busy shift,workers,managers,both_animate,
The ambassador appreciated the interpreter that the representatives supported despite the expected difficulties,interpreter,ambassador,both_animate,
The ambassadors appreciated the interpreter that the representatives supported despite the expected difficulties,interpreter,ambassadors,both_animate,
The ambassador appreciated the interpreter that last week the moderate representatives at the conference supported despite the expected difficulties,interpreter,ambassador,both_animate,
The ambassadors appreciated the interpreter that last week the moderate representatives at the conference supported despite the expected difficulties,interpreter,ambassadors,both_animate,
The defense attorney accompanied the accused ones that the jurors disliked in light of the accumulated evidence,accused,attorney,both_animate,
The defense attorneys accompanied the accused ones that the jurors disliked in light of the accumulated evidence,accused,attorneys,both_animate,
The defense attorney accompanied the accused ones that two weeks ago the older and conservative jurors disliked in light of the accumulated evidence,accused,attorney,both_animate,
The defense attorneys accompanied the accused ones that two weeks ago the older and conservative jurors disliked in light of the accumulated evidence,accused,attorneys,both_animate,
The choreographer recognized the dancers that cast members mocked during the first audition,dancers,choreographer,both_animate,
The workers recognized the dancers that cast members mocked during the first audition,dancers,workers,both_animate,
The choreographer recognized the dancers that last year's arrogant cast members mocked during the first audition,dancers,choreographer,both_animate,
The workers recognized the dancers that last year's arrogant cast members mocked during the first audition,dancers,workers,both_animate,
The king nurtured the princess that the subjects rebelled against during the transition of power,princess,king,both_animate,
The kings nurtured the princess that the subjects rebelled against during the transition of power,princess,kings,both_animate,
The king nurtured the princess that a year ago the poor and unfortunate subjects rebelled against during the transition of power,princess,king,both_animate,
The kings nurtured the princess that a year ago the poor and unfortunate subjects rebelled against during the transition of power,princess,kings,both_animate,
The tenant hosted the old women that the neighbors gossiped about at the last building meeting,women,tenant,both_animate,
The tenants hosted the old women that the neighbors gossiped about at the last building meeting,women,tenants,both_animate,
The tenant hosted the old women that last week the rude neighbors gossiped about at the last building meeting,women,tenant,both_animate,
The tenants hosted the old women that last week the rude neighbors gossiped about at the last building meeting,women,tenants,both_animate,
The dealer advertised the painters that the collectors looked at during the gallery visit,painters,dealer,both_animate,
The dealers advertised the painters that the collectors looked at during the gallery visit,painters,dealers,both_animate,
The dealer advertised the painters that a month ago the rich and mysterious collectors looked at during the visit to the gallery,painters,dealer,both_animate,
The dealers advertised the painters that a month ago the rich and mysterious collectors looked at during the visit to the gallery,painters,dealers,both_animate,
The officer trained the sergeant that the recruits feared during the long drills,sergeant,officer,both_animate,
The officers trained the sergeant that the recruits feared during the long drills,sergeant,officers,both_animate,
The officer trained the sergeant that for the past month the confused and tired rookies feared during the long drills,sergeant,officer,both_animate,
The officers trained the sergeant that for the past month the confused and tired rookies feared during the long drills,sergeant,officers,both_animate,
The photographer chose the model that the designers harassed after the magazine interview,model,photographer,both_animate,
The photographers chose the models that the designers harassed after the magazine interview,models,photographers,both_animate,
The photographer chose the models that in recent months the most respected designers harassed after the interview for the magazine,models,photographer,both_animate,
The photographers chose the models that in recent months the most respected designers harassed after the interview for the magazine,models,photographers,both_animate,
The photographer chose the models that the designers harassed after the magazine interview,models,photographer,both_animate,
The presenter despised the reporters that superiors impressed by their extraordinary professionalism,reporters,presenter,both_animate,
The presenters despised the reporters that superiors impressed by their extraordinary professionalism,reporters,presenters,both_animate,
The presenter despised the reporters that last year's executives at the central channel impressed thanks to their extraordinary professionalism,reporters,presenter,both_animate,
The presenters despised the reporters that last year's executives at the central channel impressed thanks to their extraordinary professionalism,reporters,presenters,both_animate,
The cook liked the attendants that the diners complimented at the end of the impressive event,attendants,cook,both_animate,
The cooks liked the attendants that the diners complimented at the end of the impressive event,attendants,cooks,both_animate,
The cook liked the attendants that yesterday evening the seventy satisfied diners complimented at the end of the impressive event,attendants,cook,both_animate,
The cooks liked the attendants that yesterday evening the seventy satisfied diners complimented at the end of the impressive event,attendants,cooks,both_animate,
The pianist introduced the composers that the violinists admired during rehearsals for the concert,composers,pianist,both_animate,
The musicians introduced the composers that the violinists admired during rehearsals for the concert,composers,musicians,both_animate,
The pianist introduced the composers who last month the old and famous violinists admired during rehearsals for the concert,composers,pianist,both_animate,
The musicians introduced the composers who last month the old and famous violinists admired during rehearsals for the concert,composers,musicians,both_animate,
The inspector overtook the drivers that the motorcyclists escaped while the traffic light was changing,drivers,inspector,both_animate,
The inspectors overtook the drivers that the motorcyclists escaped while the traffic light was changing,drivers,inspectors,both_animate,
The inspector overtook the drivers who this morning the careless motorcyclists escaped while the traffic light was changing,drivers,inspector,both_animate,
The inspectors overtook the drivers who this morning the careless motorcyclists escaped while the traffic light was changing,drivers,inspectors,both_animate,
The referee disqualified the tennis players that the spectators approached at the end of the opening match,player,referee,both_animate,
The referees disqualified the tennis players that the spectators approached at the end of the opening match,player,referees,both_animate,
The referee disqualified the tennis players who a week ago the spectators from the upper stand approached at the end of the opening match,player,referee,both_animate,
The referees disqualified the tennis players who a week ago the spectators from the upper stand approached at the end of the opening match,player,referees,both_animate,
The clerk found the bank managers that the robbers shot before the police arrived on the scene,managers,clerk,both_animate,
The clerks found the bank managers that the robbers shot before the police arrived on the scene,managers,clerks,both_animate,
The clerk found the bank managers that this morning the armed and dangerous robbers shot before the police arrived at the scene,managers,clerk,both_animate,
The clerks found the bank managers that this morning the armed and dangerous robbers shot before the police arrived at the scene,managers,clerks,both_animate,
The architect hated the agents that the tenants trusted in the process of writing the contract,agents,architect,both_animate,
The architects hated the agents  that the tenants trusted in the process of writing the contract,agents,architects,both_animate,
The architect hated the agents  that last year the careful and experienced tenants trusted in the process of writing the contract,agents,architect,both_animate,
The architects hated the agents  that last year the careful and experienced tenants trusted in the process of writing the contract,agents,architects,both_animate,
The practitioner saw the students that the lecturers advised during the difficult test,students,practitioner,both_animate,
The practitioners saw the students that the lecturers advised during the difficult test,students,practitioners,both_animate,
The practitioner saw the students that two days ago the inexperienced lecturers advised during the difficult test,students,practitioner,both_animate,
The practitioners saw the students that two days ago the inexperienced lecturers advised during the difficult test,students,practitioners,both_animate,
The doctor looked for the psychologists that the patients appreciated thanks to the personal attitude,psychologists,doctor,both_animate,
The professor looked for the psychologists that the patients appreciated thanks to the personal attitude,psychologists,professor,both_animate,
The doctor looked for the psychologists that in recent months the patients in the rehabilitation wing appreciated thanks to the personal attitude,psychologists,doctor,both_animate,
